Source,Date Uploaded,Time Uploaded,Summary,Date,Estimated Time,Killed,Injured,Number of Incidents,High Impact,Source/Info Rating,Location Accuracy,Longitude,Province,Location,Activity Type,Incident Type,Incident Sub-Type,Instigator,Sub-Type,Target,Sub-Type,Criminal Charges,Physical_Context,Reason for Protest,Number of Protesters,PMU Faction,Tribal Group,Major Storm,Tactic ,Unusual Social / Political Tension,Threat Level,Disease Outbreak,Drought
,,,"Insurgents on the evening 09 August attacked Nambo village in the Mucojo AP post of Macomia District, beheading one person and killing another.  Four people, three men and a woman, were abducted.  One of those abducted is reportedly a brother of an insurgent.",10-08-2020,1800-2359,2,0,1,No,Reliable,Neighborhood / Village,"-12.0532,40.4798",Cabo Delgado,"Nambo village, Mucojo AP, Macomia",Terrorism,Kidnapping,Kidnapping,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"South Africa on 12 August repatriated 500 Mozambicans who had been illegally living in the country back to Mozambique.  This operation was part of ongoing anti-COVID measures taken by the South African government.  1,381 Mozambicans have been deported from South Africa since April, and this is the sixth batch of deportees sent back to Mozambique since that time.",12-08-2020,NA / Unknown,0,0,1,No,Reliable,National,"-25.4464,31.9906",Maputo,Unspecified,Announcement,Security_Response,Other Security Operation,Foreign_Government,South Africa,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Unconfirmed reports indicated that over 5,000 tons of an ammonium nitrate are being stored in two locations in Beira in Munhava-Vaz and Manga-Mascarenhas.  This report surfaced after a large amount of this chemical recently exploded in Beirut, Lebanon, killing 154 people; the ammonium nitrate in Beirut was also reportedly destined for Mozambique.  ",08-08-2020,NA / Unknown,0,0,1,Yes,Questionable,City / Town,"-19.8176,34.8630",Sofala,"Manga Mascarenhas and Munhava-Vaz, Beira",Hazard,Warning,Kinetic Threat,Unknown_NA,Unknown / NA,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Sources indicated that insurgents in Cabo Delgado are likely operating out of 3 main cells.  One cell is likely based in Nangade District, close to the border with Tanzania.  A second central cell is likely based in the Narere / Mbau area of Mocimboa da Praia District, while a third cell is likely based in the Gagembe/Cagembe area, in northern Quissanga District. ",10-08-2020,NA / Unknown,0,0,1,Yes,Reliable,County / District,"-11.6605,40.3634",Cabo Delgado,"Nangade, MDP, and Quissanga Districts",Hazard,Warning,Disruptive Threat,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"A South Afircan MP and Deputy Shadow Minister, Dr Mimmy Gondwe, on 12 August published a press release calling on the South African government to provide ""clarity"" on Praetoria's plans to ensure the safety of South African investments in Mozambique from insurgents operating in Cabo Delgado.  This press release came as pressure has increased on the South African Development Community and South Africa specifically to provide more support to the Mozambican government's fight against Islamist insurgents in the north of the country. ",12-08-2020,NA / Unknown,0,0,1,Yes,Reliable,Provincial,"-13.026,40.523",Cabo Delgado,Cabo Delgado,Announcement,Announcement,Announcement,Foreign_Government,South Africa,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"A German media outlet reported on 13 August that Russia plans to install 6 military bases in Africa, including a base in Mozambique.  The base would most likely be located in either Cabo Delgado or perhaps more likely in Nampula province at Nacala port, where Russian private miltiary contractors have operated out of in the past. ",13-08-2020,NA / Unknown,0,0,1,Yes,Fairly Reliable,City / Town,"-14.5550,40.6940",Nampula,Nacala,Announcement,Announcement,Announcement,Foreign_Government,Russia,National_Government,National Government,,,,,,,,,,,,
,,,"On 11 August, military authorities imposed a new curfew in Mueda from 630pm to 6am. This comes as insurgents captured Mocimboa da Praia, and the threat of an insurgent attack on Mueda, site of a major military base, is increasing.",11-08-2020,NA / Unknown,0,0,1,No,Reliable,City / Town,"-11.6605,39.5647",Cabo Delgado,Mueda,Military Operations,Security_Response,Other Security Operation,Security_Forces,Mozambican Military *,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"On the evening of 12 August, insurgents attacked Olumbi village south of Palma along the coast, briefly capturing the village before retreating.  No further information including regarding casaulties from this incident is currently available.  ",12-08-2020,1800-2359,0,0,1,No,Reliable,Neighborhood / Village,"-10.9891,40.4790",Cabo Delgado,Olumbe village,Terrorism,Small_Arms_Fire,SAF Village Assault,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Mozambican military units over the night of 13-14 August repelled an insurgent attack on Macomia town.  Elements of the local population also fled into the woods during these clashes.  No details on casaulties are currently available.  Insurgents previously occupied Macomia, the capital of Macomia District, in late May after heavy fighting with Mozambican armed forces.",13-08-2020,1800-2359,0,0,1,Yes,Reliable,City / Town,"-12.2303,40.1435",Cabo Delgado,Macomia Town,Military Operations,Small_Arms_Fire,Gun Battle,Terrorist,Cabo Delgado Insurgents,Security_Forces,Mozambican Military *,,,,,,,,,,,,
,,,"Mozambican military units over the night of 13-14 August were reported to have targeted insurgents just outside of Namacande/Muidumbe town, firing on insurgent positions to force insurgents to flee.  Local residents reportedly fled the area.  Insurgents in April occupied Muidumbe District capital Namacande as they raided several villages in the area.",13-08-2020,1800-2359,0,0,1,Yes,Reliable,City / Town,"-11.7837,39.9059",Cabo Delgado,Namacande/Muidumbe,Military Operations,Small_Arms_Fire,Gun Battle,Security_Forces,Mozambican Military *,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
