Source,Date Uploaded,Time Uploaded,Summary,Date,Estimated Time,Killed,Injured,Number of Incidents,High Impact,Source/Info Rating,Location Accuracy,Longitude,Province,Location,Activity Type,Incident Type,Incident Sub-Type,Instigator,Sub-Type,Target,Sub-Type,Criminal Charges,Physical_Context,Reason for Protest,Number of Protesters,PMU Faction,Tribal Group,Major Storm,Tactic ,Unusual Social / Political Tension,Threat Level,Disease Outbreak,Drought
,,,"President Nyusi on 14 August visited an IDP camp in Metuge, Cabo Delgado for those displaced by the ongoing insurgency.  This visit conincided with intensified clashes in the province as insurgents this week captured Mocimboa da Praia town.  Nyusi during the day said that the war in Cabo Delgado was the ""fault of people who want to divide the country for its wealth"".  Nyusi also reportedly visited Pemba where he spoke with both local officials and military personnel.  Camp residents meanwhile asked the president to restore security conditions to allow them to return to their homes. ",14-08-2020,1200-1759,0,0,1,No,Reliable,City / Town,"-12.974882, 40.388860",Cabo Delgado,Metuge,Announcement,Announcement,Announcement,National_Government,Government Employee,Local_Civilian,IDPs,,,,,,,,,,,,
,,,Local media reported on 14 August that 3 Rapid Intervention Unit agents were arrested on charges of sexually assaulting a 22 year old girl in Maputo City in Mafalala District.,14-08-2020,NA / Unknown,0,1,1,No,Reliable,County / District,"-25.950724, 32.571347",Maputo City,"Mafalala, Maputo City",Crime,Physical_Altercation,Other Assault,Security_Forces,Mozambican Police *,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Local media reported on 14 August that 3 Rapid Intervention Unit agents were arrested on charges of sexually assaulting a 22 year old girl in Maputo City in Mafalala District.,14-08-2020,NA / Unknown,0,0,1,No,Reliable,County / District,"-25.949875, 32.572044",Maputo City,"Mafalala, Maputo City",Crime,Security_Response,Arrest,Security_Forces,Mozambican Police *,Security_Forces,Mozambican Police *,Murder / Assault,,,,,,,,,,,
,,,"1500 newly graduated riot police were reported on 14 August to have been deployed to Cabo Delgado.  This comes after the insurgents' recent victory at Cabo Delgado, and these reinforcements will likely be deployed in Pemba, Mueda, and Palma among other locations to help stem the insurgent advance.  ",14-08-2020,NA / Unknown,0,0,1,No,Reliable,Provincial,"-13.031,40.545",Cabo Delgado,Provincewide,Military Operations,Security_Response,Other Security Operation,Security_Forces,Mozambican Police *,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"Mozambican military units, including hundreds of troops recently deployed to Cabo Delgado on 16 August were reported to have surrounded Mocimboa da Praia town, which is still held by insurgents who captured the town last week. ",16-08-2020,NA / Unknown,0,0,1,Yes,Reliable,City / Town,"-11.3592,40.3542",Cabo Delgado,Mocimboa da Praia town,Military Operations,Security_Response,Other Security Operation,Security_Forces,Mozambican Military *,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"70 new COVID cases were reported in Mozambique on 14 August, with 34 new cases reported in Maputo City, 18 in Maputo province, 5 in Sofala, 4 in Nampula, 4 in Gaza, 3 in Cabo Delgado, 1 in Zambezia, and 1 in Manica.  This brings the nationwide total of cases to 2,708, with 19 deaths.",14-08-2020,NA / Unknown,0,70,1,No,Reliable,National,"-25.9062,32.5398",Nationwide,Nationwide,Hazard,Hazard,Disease Outbreak,Other,Disease,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Egidio G. Vaz Raposo, an advisor to President Nyusi, on 17 August said in a Facebook post that Bishop Luiz Fernando Lisboa, the Bishop of Pemba, is a ""logistician"" for the Cabo Delgado insurgents, saying Lisboa provides food to the insurgency.  This came after Gustavo Mavie, a former director of the Mozambican Information Agency, wrote an article criticizing Lisboa for his critiques of the Maputo government.  Lisboa in recent years has continually raised awareness of the Cabo Delgado insurgency and its impact on Cabo Delgado, and has strongly criticized the government's failure to contain the insurgency.",17-08-2020,NA / Unknown,0,0,1,No,Reliable,Provincial,"-12.9688,40.5087",Cabo Delgado,Provincewide,Hazard,Warning,Disruptive Threat,Political_Party,FRELIMO*,Humanitarian_NGO ,NGO Local Employee,,,,,,,,,,,,
,,,"Mozambican police on 15 August were reported to have launched an investigation into the kidnapping of Arthur Mabjaia, which occurred on 12 August in Boane.  Information on the kidnapping remains scarce though Mabjaia was reportedly kidnapped in the early morning hours by unidentified assailants in two vehicles that followed him to his home. ",15-08-2020,NA / Unknown,0,0,1,No,Reliable,City / Town,"-26.0506,32.3307",Maputo,Boane,Crime,Security_Response,Other Security Operation,Security_Forces,Mozambican Police *,Criminal,Criminal Gang,,,,,,,,,,,,
,,,A fire broke out at the Chinese Road and Bridge Corporation camp in Maputo Province  in Catembe.  The blaze reportedly broke out at around 9am as part of a welding accident.  Some equipment was destroyed in the fire before firefighters at around 1pm put it out.,15-08-2020,0600-1159,0,0,1,No,Reliable,Neighborhood / Village,"-26.0068,32.5598",Maputo City,Catembe,Hazard,Hazard,Fire,Other,Accident,Industry_Infrastructure,Construction,,,,,,,,,,,,
,,,"On the night of 15 August, Rajiv Nitin, the son of an Indian businessman, was kidnapped in Beira city from the Maquinino neighborhood.  Nitin was abducted at around 6:15pm by four unidentified individuals in a gray Toytoa truck along the Avenida Machado dos Santos.  Nitin's wife who was also at the scene of the incident was robbed of her purse. The four assailants were reported to be armed with ""blunt instruments"" as well as at least one firearm.  Police said they had immediately launched an investigation into the incident. ",15-08-2020,1800-2359,0,0,1,Yes,Reliable,Neighborhood / Village,"-19.830317, 34.838766",Sofala,"Maquinino, Beira",Crime,Kidnapping,Kidnapping,Criminal,Criminal Gang,Local_Civilian,Local Businessman,,,,,,,,,,,,
,,,Clashes between insurgents and the Mozambican military were reported on 15 August in the MDP area.  No information on casaulties is currently available.  Insurgents continue to hold the town and much of the surrounding area.  Sources also reported that insurgents were being supplied via dhows after security forces surrounded the town. ,15-08-2020,0600-1159,0,0,1,Yes,Reliable,City / Town,"-11.3680,40.3534",Cabo Delgado,Mocimboa da Praia,Military Operations,Small_Arms_Fire,Gun Battle,Security_Forces,Mozambican Military *,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"83 new COVID cases in Mozambique were reported on 15 August, with 55 new cases in Maputo City, 12 in Maputo, 6 in Nampula, 1 in Manica, 4 in Inhambane, and 5 in Gaza.  This raised the nationwide total number of cases to 2,791, with 19 deaths.",15-08-2020,NA / Unknown,0,83,1,No,Reliable,National,"-25.9395,32.5915",Nationwide,Nationwide,Hazard,Hazard,Disease Outbreak,Other,Disease,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"64 new cases of COVID were reported in Mozambique on 16 August, raising the nationwide total to 2,855 cases with 19 deaths.  26 new cases were reported in Maputo City, 12 in Maputo, 9 in Sofala, 6 in Gaza, 4 in Tete, 4 in Manica, 2 in Nampula and 1 in Zambezia.",16-08-2020,NA / Unknown,0,64,1,No,Reliable,National,"-25.8988,32.5942",Nationwide,Nationwide,Hazard,Hazard,Disease Outbreak,Other,Disease,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Mozambique on 17 August takes over the acting presidency of the Southern African Development Community (SADC) at the SADC's annual summit.  The ongoing insurgency in Cabo Delgado is widely anticipated to be among the topics to be discussed a the summit, though it remains unclear if Mozambique will take the oppurtunity to request for an SADC military intervention into Cabo Delgado to combat IS-linked militants in the province.  The SADC summit attendees later in the day issued a statement expressing ""solidarity and commitment to support"" Mozambique in combating the insurgency, though no tangible steps towards countering the insurgency via the SADC were publicly discussed or announced.  ",17-08-2020,NA / Unknown,0,0,1,Yes,Reliable,National,"-25.8654,32.5127",Nationwide,Nationwide,Announcement,Announcement,Announcement,National_Government,National Government,Foreign_Government,SADC,,,,,,,,,,,,
,,,"Clashes in Mocimboa da Praia between insurgents and Mozambican military units on 17 August were reproted to be ongoing.  Almost all residents of the town are reported to have fled the area, and communication links in the area remain cut.  Earlier reports indicated the town had been surrounded by Mozambican military units.  No information on casaulties is available at this time. ",17-08-2020,NA / Unknown,0,0,1,Yes,Reliable,City / Town,"-11.3550,40.3548",Cabo Delgado,Mocimboa da Praia town,Military Operations,Small_Arms_Fire,Gun Battle,Security_Forces,Mozambican Military *,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"Mozambican authorities on 17 August announced that all foreign and national citizens wishing to enter or leave Mozambique would be required to obtain a ""Guia de Marcha"", a document allowing movements across Mozambican borders authroized by the Minster of the Interior.  These passes were previously used in Mozambique before the transition to democracy, and have been more recently used in insurgency impacted areas of Cabo Delgado. ",17-08-2020,NA / Unknown,0,0,1,No,Reliable,National,"-18.9050,32.7283",Nationwide,National borders,Hazard,Warning,Disruptive Threat,National_Government,National Government,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,5 girls on 17 August were reported to have escaped from an insurgent camp in the Mbau area and fled to the nearby village of Simbalongo.  This incident speaks to the continued presence relatively nearby of insurgent camps. ,17-08-2020,NA / Unknown,0,0,1,No,Reliable,Neighborhood / Village,"-11.5334,40.3718",Cabo Delgado,Simbalongo village,Military Operations,Kidnapping,Kidnapping,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,3 abducted girls on 17 August were reported to have escaped from an insurgent camp in the Quitereajo area.  Insurgents have consistenly been reported to maintain a presence in or around Quiterajo.  ,17-08-2020,NA / Unknown,0,0,1,No,Reliable,Neighborhood / Village,"-11.7615,40.4289",Cabo Delgado,Quiterajo area,Military Operations,Kidnapping,Kidnapping,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Mozambican police were reported to have seized 102 containers containing illegally logged wood from a ship in Pemba after a local tip off.,13-08-2020,NA / Unknown,0,0,1,No,Reliable,City / Town,"-12.9672,40.4873",Cabo Delgado,Pemba,Crime,Security_Response,Other Security Operation,Security_Forces,Mozambican Police *,Criminal,Criminal Gang,,,,,,,,,,,,
,,,"Sources reported on 17 August that Mozambican police arrested around 150 people recently on Inhaca island in Maputo for violations of the new 08 August State of Emergency.  Police officers however said only 11 of these individuals continue to be held, while the rest were released.",17-08-2020,NA / Unknown,0,0,1,No,Reliable,Neighborhood / Village,"-26.0222,32.9295",Maputo,Inhaca Island,Crime,Security_Response,Other Security Operation,Security_Forces,Mozambican Police *,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Many Nampula residents are reportedly disregarding anti-COVID measures such as social distancing, the wearing of face masks, and avoiding unneccesary travel, local officals said on 16 August.  Provincial authorities say not adhereing to anti-COVID measures in widespread across Nampula city and the wider province, and that only in ""extreme"" cases are police called to enforce anti-COVID measures.",16-08-2020,NA / Unknown,0,0,1,No,Reliable,Provincial,"-15.1254,39.2755",Nampula,Provincewide,Hazard,Hazard,Disease Outbreak,Local_Civilian,Civilian / Shop,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Beira District Administrator Joao Oliveira on 14 August at a meeting with Beira police officials announced that anyone in the district not following anti-COVID measures of the State of Emergency including not wearing a mask would be arrested and would receive 3-15 days in prison or a fine.  This comes after 33 cases of COVID-19 have been diagnosed in Beira in recent weeks. ,14-08-2020,NA / Unknown,0,0,1,No,Reliable,City / Town,"-19.8282,34.8528",Sofala,Beira District,Hazard,Security_Response,Other Security Operation,Security_Forces,Mozambican Police *,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"A military vehicle on 16 August was reported to have skidded off the road in Cuamba District, Niassa province.  One soldier was killed in the accident.",16-08-2020,NA / Unknown,1,0,1,No,Reliable,County / District,"-14.7666,36.5115",Niassa,Cuamba District,Hazard,Hazard,Major RTA,Security_Forces,Mozambican Military *,Security_Forces,Mozambican Military *,,,,,,,,,,,,
,,,"On the morning of 16 August, a man died after being set on fire in Rimbane, Cuamba District after he was caught by a group of local residents stealing items from a home.  Other gang members escaped the scene of the incident. Lynching incidents are relatively common in much of Mozambique, and this is the third such incident in Rimbane in the last 5 years.  ",16-08-2020,0000-0559,1,0,1,No,Reliable,Neighborhood / Village,"-14.7926,36.5208",Niassa,"Rimbane, Cuamba",Crime,Physical_Altercation,Mob Justice,Local_Civilian,Vigilantes,Criminal,Criminal Gang,,,,,,,,,,,,
,,,"Over 2,600 refugees from the Cabo Delgado insurgency are now present in the Santa Cruz area of Nampula city.  Many of these are recently arrived after insurgent attacks in recent months.  Local Catholic churchs are the primary shelter for these IDPs; IDPs continue to arrive in Nampula on a weekly basis fleeing from the ongoing insurgency. ",17-08-2020,NA / Unknown,0,0,1,No,Reliable,Neighborhood / Village,"-15.1238,39.2694",Nampula,"Santa Cruz, Nampula city",Hazard,Warning,Disruptive Threat,Terrorist,Cabo Delgado Insurgents,Local_Civilian,IDPs,,,,,,,,,,,,
